description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows magnesium fertilizer treatment,nil,1852-2022,magnesium nutrient exposure,,0,,,,
"Factor level shows magnesium fertilizer treatment. Previously 11 kgMg/ha until 1973, then 35kgMg every third year 1974-2000,(except 30kg Mg 1992, 1995, 1998). 2001 onwards applied annually. Applied as Kieserite (a form of magnesium sulfate). ",Mg,1852-2022,magnesium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007288,12,kg Mg ha-1,annual ,magnesium sulfate,http://purl.obolibrary.org/obo/CHEBI_32599
"Factor level shows magnesium fertilizer treatment. Previously 5.5 kgMg/ha until 1973, then 17.5 kgMg every third year 1974-2000 (except 15kgMg 1992, 1995, 1998). 2001 onwards applied annually. Applied as Kieserite (a form of magnesium sulfate). Applied to strips 17 and 18.",1/2 Mg,1968-2000,magnesium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007288,6,kg Mg ha-1,annual ,magnesium sulfate,http://purl.obolibrary.org/obo/CHEBI_32599
Factor level shows magnesium fertilizer treatment. Previously 31 kg Mg/ha 1968-1973. Applied as Kieserite (a form of magnesium sulfate) to strip 14. ,Mg*,1968-2000,magnesium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007288,30,kg Mg ha-1,annual ,magnesium sulfate,http://purl.obolibrary.org/obo/CHEBI_32599
"Factor level shows previous magnesium fertilizer treatment, until 2000. 30 kg Mg/ha 1974-2000, 31 kg Mg/ha 1968-1973. Applied as Kieserite (a form of magnesium sulfate). ",(Mg*),2001-2022,magnesium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007288,0,,,,
Factor level shows magnesium fertilizer treatment. Applied as Kieserite (a form of magnesium sulfate). Plus 60kgMg/ha in autumn 2000 only. ,Mg2,2001-2005,magnesium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007288,24,kg Mg ha-1,annual ,magnesium sulfate,http://purl.obolibrary.org/obo/CHEBI_32599
